ɧ	ʜᴄʀ'@ʜᴊʀ'@ʜʀᴄ'@ʜʀᴊ'@ᴊǫɢ'〖拉-小〗(ipa)
ʍ	ᴡᴋ'〖拉-小〗(ipa)
ɫ	ɪᴢ'@ʟᴢ'〖拉-小〗(dj)@(ipa)
ɥ	ʜǫ'@ᴜɪ'〖拉-小〗(ipa)
ɨ	ɪᴛ'〖拉-小〗(ipa)
ʉ	ᴜᴛ'〖拉-小〗(ipa)
ɯ	ᴍǫ'〖拉-小〗(ipa)
ø	ᴏx'〖拉-小〗(ipa)
ɘ	ᴇᴋ'〖拉-小〗(ipa)
ɵ	ǫɪ'〖拉-小〗(ipa)
ɤ	ᴏʏ'@ᴠᴏ'@ʏᴏ'@ʏᴡᴏ'〖拉-小〗(ipa)
ɞ	ʙꜰ'〖拉-小〗(ipa)
œ	ᴏʜᴇ'〖拉-小〗(ipa)
ɶ	ᴏʜᴇ;〖拉-大〗(ipa)
ɐ	ᴀǫ'〖拉-小〗(ipa)
ä	ᴀʙ'〖拉-小〗(mw)@(ipa)
ᶿ	ǫʜ'〖拉-小〗(ipa)
ᵊ	ᴇǫʜ'〖拉-小〗(ipa)
ʰ	ʜʜ'〖拉-小〗(ipa)
ʱ	ʜʀʜ'〖拉-小〗(ipa)
ⁿ	ɴʜ'〖拉-小〗(ipa)
ʷ	ᴡʜ'〖拉-小〗(ipa)
ˠ	ɢᴏʜ'@ɴᴏʜ'@ᴠᴏʜ'〖拉-小〗(ipa)
ᶣ	ʜǫʜ'@ᴜʜ'〖拉-小〗(ipa)
ʲ	ᴊʜ'〖拉-小〗(ipa)
ˤ	ᴄꜰᴋʜ'@ᴄꜰʏʜ'@ᴄʏʜ'〖拉-小〗(ipa)
ˡ	ʟʜ'〖拉-小〗(ipa)
ǂ	ɪᴛᴛ'@ɪᴡᴛᴛ'@ʟᴛᴛ'@ɴꜰǫ'@ᴛꜰᴛ'〖拉-小〗(ipa)
‿	ᴅᴜᴡ'〖拉-小〗(ipa)
‖	ɪᴡɪᴡ'〖拉-小〗(ipa)
|	ɪᴡ'〖拉-小〗(ipa)
↗	ʟᴡǫ'〖拉-小〗(ipa)
↘	ʟᴡǫ'〖拉-小〗(ipa)
ꜛ	ʟᴡ'〖拉-小〗(ipa)
ꜜ	ʟᴡk'〖拉-小〗(ipa)
˥	ɢᴡᴋ'〖拉-小〗(ipa)
˦	ᴛᴡǫ'〖拉-小〗(ipa)
˧	ᴛᴡǫ'〖拉-小〗(ipa)
˨	ᴛᴡǫ'〖拉-小〗(ipa)
˩	ɢᴡǫ'〖拉-小〗(ipa)
˕	ᴅᴛᴡ'@ᴛᴡ'〖拉-小〗(ipa)
˔	ᴅᴛᴡᴋ'@ᴛᴡᴋ'〖拉-小〗(ipa)
ˑ	ᴅꜰ'@ᴅꜰᴋ'@ᴅᴋ'〖拉-小〗(ipa)
˞	ᴋᴡ'〖拉-小〗(ipa)
ʼ	ᴅᴡ'〖拉-小〗(ipa)
̠	@@@ᴅᴇ''〖拉-組〗(ipa)
̊	@@@ᴏ''〖拉-組〗(ipa)
̃	@@@s''〖拉-組〗(ipa)
͡	@@@ᴍ''〖拉-組〗(ipa)
̥	@@@ᴅᴏ''〖拉-組〗(ipa)
̈	@@@ʙ''〖拉-組〗(ipa)
̝	@@@ᴅᴛᴋ''〖拉-組〗(ipa)
̪	@@@ᴅʀ''〖拉-組〗(ipa)
̬	@@@ᴅᴠ''〖拉-組〗(ipa)
̞	@@@ᴅᴛ''〖拉-組〗(ipa)
̆	@@@ᴜ''@ᴜꜰʜ''〖拉-組〗(ipa)
